source_name,category,source_register_url,has_coded_connector,connector_name,connector_type,connector_status,automation_feasibility,access_method,access_status,notes
Fraser Health Capital Projects,D — Capital plans / future infrastructure,https://www.fraserhealth.ca/about-us/capital-projects,NO,NONE,N/A,N/A,Needs connector / manual review,html_listing / manual_p3,public,Sits between provincial capital announcements and FH Bids&Tenders; ideal early-signal layer. | More useful for pipeline than immediate tender capture. | —
Langley SD Capital Plan / Long-Range Facilities Plan,D — Capital plans / future infrastructure,https://www.sd35.bc.ca/capital-plan,NO,NONE,N/A,N/A,Needs connector / manual review,pdf_manual,public,Very tightly aligned with TENDER_FINDER’s core geography and subdivision growth areas.
Nch’ḵay Development Projects,D — Capital plans / future infrastructure,https://nchkay.com,NO,NONE,N/A,N/A,Candidate,html_listing / rss_feed,public,Important strategic source for Metro Vancouver land development. | Best connector candidate among Indigenous development sources. | — | Original official_url text preserved for review: https://nchkay.
Semiahmoo FN community infrastructure and housing announcements,D — Capital plans / future infrastructure,https://www.canada.ca/en/indigenous-services-canada/news/2026/01/semiahmoo-first-nation-advances-community-infrastructure-to-support-future-housing.html,NO,NONE,N/A,N/A,Needs connector / manual review,manual_p3,public,Track for timing of on-reserve works and access roads in TENDER_FINDER’s Tier-1 geography.
Semiahmoo First Nation Economic Development,D — Capital plans / future infrastructure,https://www.sfns.ca/economic-development,NO,NONE,N/A,N/A,Candidate,html_listing,public,
Squamish Nation Planning & Capital Projects,D — Capital plans / future infrastructure,https://www.squamish.net/divisions/community-services/planning-capital-projects,NO,NONE,N/A,N/A,Needs connector / manual review,html_listing / manual_p3,public,Department mandate covers growing communities via heavy capital infrastructure. | First Nations not captured under generic municipal entries; new category I for Indigenous infrastructure. | N/A | Orig
Tsawwassen First Nation Major Development Program backgrounder,D — Capital plans / future infrastructure,https://tsawwassenfirstnation.com/wp-content/uploads/2019/07/TFN_Backgrounder_Moving_Forward-FINAL.pdf,NO,NONE,N/A,N/A,Needs connector / manual review,pdf_manual,public,High-impact civil pipeline on TFN lands; good for long-term BD and JV thinking.
Tsawwassen First Nation planning/development and industrial lands,D — Capital plans / future infrastructure,https://tsawwassenfirstnation.com,NO,NONE,N/A,N/A,Needs connector / manual review,html_listing / pdf_manual,public,High-return civil scope adjacent to Deltaport and Roberts Bank corridor. | One of the most directly useful Indigenous-land sources for TENDER_FINDER. | Treat as manual review PDF source. | Original official_ur
Adera Development Projects,F — GC / developer invitation channels,https://www.adera.com/projects,NO,NONE,N/A,N/A,Candidate,html_listing,public,Original official_url text preserved for review: https://www.adera.com/projects/
Anthem Properties project news / portfolio,F — GC / developer invitation channels,https://anthemproperties.com/projects,NO,NONE,N/A,N/A,Candidate,html_listing,public,"Strong Surrey relevance via Georgetown. | Same umbrella as developer news, but Anthem’s own project/news pages are specific and timely enough to justify a separate row. | Original official_url text pr"
Beedie Fraser Mills master-planned community,F — GC / developer invitation channels,https://www.beedie.ca/residential/fraser-mills-master-planned-community,NO,NONE,N/A,N/A,Needs connector / manual review,manual_p3,public,Major long-horizon civil opportunity in Coquitlam with repeated phases. | Original official_url text preserved for review: https://www.beedie.ca/residential/fraser-mills-master-planned-community/
Beedie industrial land/development portfolio,F — GC / developer invitation channels,https://www.beedie.ca/industrial,NO,NONE,N/A,N/A,Candidate,html_listing,public,Allows TENDER_FINDER to position for earthworks prior to general GC bidding. | High priority private-sector source for Delta / industrial-civil opportunities. | N/A | Original official_url text preserved for r
Concert Properties Metro Vancouver projects,F — GC / developer invitation channels,https://www.concertproperties.com/projects,NO,NONE,N/A,N/A,Needs connector / manual review,html_listing / manual_p3,public,Target for long-term relationship mapping on urban sites. | Original official_url text preserved for review: https://www.concertproperties.com/projects/
Darwin Properties Developments,F — GC / developer invitation channels,https://www.darwinproperties.com/developments,NO,NONE,N/A,N/A,Candidate,html_listing,public,
Mosaic Homes communities / properties,F — GC / developer invitation channels,https://mosaichomes.com/communities,NO,NONE,N/A,N/A,Needs connector / manual review,html_listing / manual_p3,public,Adds another repeat developer pipeline in TENDER_FINDER’s footprint. | Original official_url text preserved for review: https://mosaichomes.com/communities/
Onni projects / new homes pipeline,F — GC / developer invitation channels,https://www.onni.com/projects,NO,NONE,N/A,N/A,Needs connector / manual review,html_listing / manual_p3,public,Conceptually overlaps with 'Developer Announcements / Land Assembly' but is a concrete project list; treat as sub-source. | Original official_url text preserved for review: https://www.onni.com/projec
Polygon Homes active/selling/upcoming communities,F — GC / developer invitation channels,https://polyhomes.com,NO,NONE,N/A,N/A,Needs connector / manual review,html_listing / manual_p3,public,Critical upstream lead source for subdivision land stripping and grading. | Gives forward visibility on Polygon land positions by location and product type. | N/A | Original official_url text preserve
Qualico Communities BC pipeline,F — GC / developer invitation channels,https://qualicocommunitiesbc.com,NO,NONE,N/A,N/A,Candidate,html_listing,public,Prime private developer client tracking for Tier 1 earthworks. | Medium priority versus Beedie / Wesgroup / Anthem. | N/A | Original official_url text preserved for review: https://qualicocommunitiesb
Wesgroup master-planned districts / River District,F — GC / developer invitation channels,https://wesgroup.ca/properties,NO,NONE,N/A,N/A,Needs connector / manual review,html_listing / manual_p3,public,"One of the largest ongoing community builds in Vancouver; worth its own entry. | Focus on River District, Civic District, and other masterplan pages. | Owner-specific project portfolio is materially m"
"Katzie Housing, Infrastructure and Public Works Newsletter",D — Capital plans / future infrastructure,https://katzie.ca/project/housing-infrastructure-and-public-works-newsletter-may-8-2026,NO,NONE,N/A,N/A,Candidate,html_listing,public,Review-driven source rather than scrape-first source. | — | Original official_url text preserved for review: https://katzie.ca/project/housing-infrastructure-and-public-works-newsletter-may-8-2026/
Semiahmoo Development Corp partnerships / business inquiries,D — Capital plans / future infrastructure,https://www.semiahmoofirstnation.ca/partnerships,NO,NONE,N/A,N/A,Needs connector / manual review,manual_p3,public,This is more relationship intelligence than automatable feed. | —
Hall Constructors Subcontractor ITB / prequalification channel,F — GC / developer invitation channels,https://hallconstructors.com,NO,NONE,N/A,N/A,Needs connector / manual review,email_forwarded / manual_p3,login_required / public,Requires manual ITB inbox onboarding for estimator team. | N/A | Original official_url text preserved for review: https://hallconstructors.com/
Jacob Bros Construction Subcontractor Prequalification,F — GC / developer invitation channels,https://jacobbros.ca/subcontractors,NO,NONE,N/A,N/A,Needs connector / manual review,email_forwarded / manual_p3,login_required / public,Key partnership route for large-scale public infrastructure sub-contracts. | N/A | Original official_url text preserved for review: https://jacobbros.ca/subcontractors/
Maple Ridge Contract Registry Search,A — Active tender portals,https://www.mapleridge.ca/build-do-business/bid-opportunities/contract-registry-search,NO,NONE,N/A,N/A,Candidate,html_listing,public,"This is an award / contract-history source, not just a live-tender page. | —"
City of Langley Council Agendas,C — Council / committee agendas,https://www.langleycity.ca/city-hall/council-meetings,NO,NONE,N/A,N/A,Candidate,html_listing,public,
Pitt Meadows Council Agendas,C — Council / committee agendas,https://www.pittmeadows.ca/city-hall/council-meetings,NO,NONE,N/A,N/A,Candidate,html_listing,public,
Township of Langley Council Agendas,C — Council / committee agendas,https://www.tol.ca/en/council/council-meetings.aspx,NO,NONE,N/A,N/A,Candidate,html_listing,public,
KPU Bid Award Notices and Prequalified Supplier Lists,D — Capital plans / future infrastructure,https://www.kpu.ca/procurement/bid-award-notices,NO,NONE,N/A,N/A,Candidate,html_listing,public,Good incumbent and partner-identification source. | —
Bird Construction Subcontractor Portal,F — GC / developer invitation channels,https://www.bird.ca/subcontractors,NO,NONE,N/A,N/A,Needs connector / manual review,manual_p3,public,Original official_url text preserved for review: https://www.bird.ca/subcontractors/
Chandos Construction Subcontractors,F — GC / developer invitation channels,https://www.chandos.com/subcontractors,NO,NONE,N/A,N/A,Needs connector / manual review,manual_p3,public,Original official_url text preserved for review: https://www.chandos.com/subcontractors/
Kiewit supplier registration / GEP SMART / Business With Us,F — GC / developer invitation channels,https://www.kiewit.com/suppliers,NO,NONE,N/A,N/A,Needs connector / manual review,paid_login_stub / manual_p3,login_required / public guide + login portal / public_with_filters,"GC portals are conceptually in register, but Kiewit’s SMART is unique and crucial for BC MoTI megaprojects. | Best for subcontractor registration and opportunity awareness, not scraping. | Same logic "
PCL Construction Subcontractor Prequalification,F — GC / developer invitation channels,https://www.pcl.com/ca/en/supplier-centre/subcontractor-prequalification,NO,NONE,N/A,N/A,Needs connector / manual review,paid_login_stub,login_required,Requires manual registration; TENDER_FINDER should set up profile.
Tsawwassen First Nation Doing Business with TFN,D — Capital plans / future infrastructure,https://tsawwassenfirstnation.com/business/doing-business-with-tfn,NO,NONE,N/A,N/A,Candidate,html_listing,public,Key source for Tsawwassen Mills/industrial expansion. | Original multi-route value normalized to Active_Tenders: Active_Tenders / Future_Projects | Original official_url text preserved for review: htt
Abbotsford Bids & Tenders endpoint,A — Active tender portals,https://www.abbotsford.ca/city-hall/procurement-services,NO,NONE,N/A,N/A,Candidate,html_listing,public,
Burnaby Bidding Opportunities,A — Active tender portals,https://www.burnaby.ca/business/doing-business-with-the-city/bid-opportunities,NO,NONE,N/A,N/A,Candidate,html_listing,public,
Chilliwack Bid Opportunities endpoint,A — Active tender portals,https://www.chilliwack.com/doing-business/bid-opportunities,NO,NONE,N/A,N/A,Candidate,html_listing,public,
City of Coquitlam procurement endpoint / Bonfire or City page,A — Active tender portals,https://coquitlam.bonfirehub.ca/portal,NO,NONE,N/A,N/A,Candidate,api_json / html_listing,public,Direct Bonfire API feed replacing fragmented manual portal checks. | N/A | Original official_url text preserved for review: https://coquitlam.bonfirehub.ca/portal/
City of Delta Bids & Tenders endpoint,A — Active tender portals,https://delta.bidsandtenders.ca,NO,NONE,N/A,N/A,Candidate,ods_v21 / html_listing,public,Machine-readable structured procurement feed. | Baseline #3 generic; isolates Delta heavy civil and port-adjacent roadworks. | Original official_url text preserved for review: https://delta.bidsandten
City of North Vancouver Bids & Tenders endpoint,A — Active tender portals,https://www.cnv.org/business/bids-and-tenders,NO,NONE,N/A,N/A,Candidate,html_listing,public,
District of North Vancouver Bids & Tenders endpoint,A — Active tender portals,https://www.dnv.org/business-development/bid-opportunities,NO,NONE,N/A,N/A,Candidate,html_listing,public,
Mission Bids & Tenders endpoint,A — Active tender portals,https://www.mission.ca/business/bids-tenders.htm,NO,NONE,N/A,N/A,Candidate,html_listing,public,
New Westminster Bids & Tenders endpoint,A — Active tender portals,https://www.newwestcity.ca/business/tenders,NO,NONE,N/A,N/A,Candidate,html_listing,public,
White Rock Bids & Tenders endpoint,A — Active tender portals,https://www.whiterockcity.ca/EN/main/city-hall/tenders.html,NO,NONE,N/A,N/A,Candidate,html_listing,public,
BC Ferries procurement / contract opportunities,D — Capital plans / future infrastructure,https://www.bcferries.com/about/doing-business/contract-opportunities,NO,NONE,N/A,N/A,Candidate,html_listing,public,Worth monitoring but lower volume than municipal sources. | —
BC Transit Procurement,D — Capital plans / future infrastructure,https://www.bctransit.com/corporate/procurement,NO,NONE,N/A,N/A,Candidate,html_listing,public,
Abbotsford School District doing business / tenders,D — Capital plans / future infrastructure,https://finance.abbyschools.ca/purchasing/bid-opportunities/finance,NO,NONE,N/A,N/A,Candidate,html_listing,public,
Burnaby School District tenders,D — Capital plans / future infrastructure,https://burnabyschools.ca/tenders,NO,NONE,N/A,N/A,Candidate,html_listing,public,Original official_url text preserved for review: https://burnabyschools.ca/tenders/
Chilliwack School District tenders,D — Capital plans / future infrastructure,https://sd33.bc.ca/tenders,NO,NONE,N/A,N/A,Candidate,html_listing,public,
Coquitlam SD43 tenders,D — Capital plans / future infrastructure,https://www.sd43.bc.ca/Pages/tenders.aspx,NO,NONE,N/A,N/A,Candidate,html_listing,public,
Delta School District tenders,D — Capital plans / future infrastructure,https://www.deltasd.bc.ca/district/business-opportunities,NO,NONE,N/A,N/A,Candidate,html_listing,public,Original official_url text preserved for review: https://www.deltasd.bc.ca/our-district/business/tenders/
Providence Health Care Tenders & RFPs,D — Capital plans / future infrastructure,https://www.providencehealthcare.org/about-providence/doing-business-with-us/tenders-rfps,NO,NONE,N/A,N/A,Candidate,html_listing,public,Major hospital redevelopment with extensive civil scope.
